,event_year,flattened_locations,category,count,Code,Country,min,max,count_norm
53,2018,SZ,Violence,300358,SZ,Switzerland,87640,1006951,0.23138850726250418
54,2018,SZ,Education,772950,SZ,Switzerland,87640,1006951,0.7454604589741665
55,2018,SZ,Corruption,414460,SZ,Switzerland,87640,1006951,0.3555053730456831
56,2018,SZ,Agriculture,369384,SZ,Switzerland,87640,1006951,0.3064729998879596
57,2018,SZ,Economic Policy,493817,SZ,Switzerland,87640,1006951,0.44182762960521516
58,2018,SZ,Government and Politics,1006951,SZ,Switzerland,87640,1006951,0.9999999999999999
59,2018,SZ,Social Development and Protection,304788,SZ,Switzerland,87640,1006951,0.2362073335356588
60,2018,GM,Law,1160133,GM,Germany,312359,3740937,0.24726694273835975
61,2018,GM,Health,1767474,GM,Germany,312359,3740937,0.42440772821852085
62,2018,GM,Military,2852105,GM,Germany,312359,3740937,0.7407578302141588
63,2018,GM,Religion,1305953,GM,Germany,312359,3740937,0.2897976945544188
64,2018,GM,Violence,1077021,GM,Germany,312359,3740937,0.22302598920018735
65,2018,GM,Education,2603107,GM,Germany,312359,3740937,0.668133552744024
66,2018,GM,Corruption,1191503,GM,Germany,312359,3740937,0.2564165085350253
67,2018,GM,Agriculture,1168154,GM,Germany,312359,3740937,0.24960639658773986
68,2018,GM,Economic Policy,1827192,GM,Germany,312359,3740937,0.44182544483456404
69,2018,GM,Government and Politics,3740937,GM,Germany,312359,3740937,1.0
70,2018,GM,Social Development and Protection,1058859,GM,Germany,312359,3740937,0.2177287493532304
71,2015,VE,Law,353599,VE,Venezuela,48640,1053738,0.30341220458104584
72,2015,VE,Health,420769,VE,Venezuela,48640,1053738,0.3702415087881978
73,2015,VE,Military,724608,VE,Venezuela,48640,1053738,0.6725393941685289
74,2015,VE,Violence,270403,VE,Venezuela,48640,1053738,0.22063818652509504
75,2015,VE,Education,734899,VE,Venezuela,48640,1053738,0.6827781967529535
76,2015,VE,Corruption,276618,VE,Venezuela,48640,1053738,0.22682166316120417
77,2015,VE,Agriculture,258789,VE,Venezuela,48640,1053738,0.20908309438482614
78,2015,VE,Economic Policy,445024,VE,Venezuela,48640,1053738,0.3943734839786767
79,2015,VE,Government and Politics,1053738,VE,Venezuela,48640,1053738,1.0
80,2015,VE,Social Development and Protection,260162,VE,Venezuela,48640,1053738,0.2104491303335595
81,2019,SF,Law,85781,SF,South Africa,15710,258462,0.2886526166622726
82,2019,SF,Health,135499,SF,South Africa,15710,258462,0.4934624637490113
83,2019,SF,Military,203464,SF,South Africa,15710,258462,0.773439559715265
84,2019,SF,Religion,68029,SF,South Africa,15710,258462,0.2155244858950699
85,2019,SF,Violence,81262,SF,South Africa,15710,258462,0.2700369100975481
86,2019,SF,Education,219220,SF,South Africa,15710,258462,0.8383453071447402
87,2019,SF,Corruption,106310,SF,South Africa,15710,258462,0.37322040601107304
88,2019,SF,Agriculture,93258,SF,South Africa,15710,258462,0.31945359873451096
89,2019,SF,Economic Policy,122791,SF,South Africa,15710,258462,0.441112740574743
90,2019,SF,Government and Politics,258462,SF,South Africa,15710,258462,1.0
91,2019,SF,Social Development and Protection,98172,SF,South Africa,15710,258462,0.33969648035855526
92,2016,HR,Law,91069,HR,Croatia,20180,350314,0.2147279589500021
93,2016,HR,Health,146823,HR,Croatia,20180,350314,0.3836108973931798
94,2016,HR,Military,261078,HR,Croatia,20180,350314,0.729697637928841
95,2016,HR,Religion,120538,HR,Croatia,20180,350314,0.3039917124561542
96,2016,HR,Violence,105474,HR,Croatia,20180,350314,0.2583617561353875
97,2016,HR,Education,240186,HR,Croatia,20180,350314,0.6664142439130777
98,2016,HR,Agriculture,108861,HR,Croatia,20180,350314,0.2686212265322566
99,2016,HR,Economic Policy,245683,HR,Croatia,20180,350314,0.683065058430819
100,2016,HR,Government and Politics,350314,HR,Croatia,20180,350314,1.0
101,2016,HR,Social Development and Protection,89611,HR,Croatia,20180,350314,0.2103115704532099
102,2019,AR,Law,151983,AR,Argentina,18110,431680,0.3237009454264091
103,2019,AR,Health,195429,AR,Argentina,18110,431680,0.4287520854994318
104,2019,AR,Military,264633,AR,Argentina,18110,431680,0.5960853059941486
105,2019,AR,Education,291429,AR,Argentina,18110,431680,0.660877239645042
106,2019,AR,Corruption,119174,AR,Argentina,18110,431680,0.24436975602679112
107,2019,AR,Agriculture,132743,AR,Argentina,18110,431680,0.2771791957830597
108,2019,AR,Economic Policy,182603,AR,Argentina,18110,431680,0.397739197717436
109,2019,AR,Government and Politics,431680,AR,Argentina,18110,431680,1.0
110,2019,AR,Social Development and Protection,150474,AR,Argentina,18110,431680,0.32005222815968276
111,2015,MY,Law,146036,MY,Malaysia,35298,431592,0.2794339555986213
112,2015,MY,Health,181244,MY,Malaysia,35298,431592,0.36827708721302876
113,2015,MY,Military,414473,MY,Malaysia,35298,431592,0.9568022730599
114,2015,MY,Religion,236434,MY,Malaysia,35298,431592,0.5075423801521093
115,2015,MY,Violence,187405,MY,Malaysia,35298,431592,0.38382362589390706
116,2015,MY,Education,291853,MY,Malaysia,35298,431592,0.6473855269067914
117,2015,MY,Corruption,236504,MY,Malaysia,35298,431592,0.5077190166896294
118,2015,MY,Agriculture,146709,MY,Malaysia,35298,431592,0.28113218973792187
119,2015,MY,Economic Policy,235306,MY,Malaysia,35298,431592,0.5046960085189278
120,2015,MY,Government and Politics,431592,MY,Malaysia,35298,431592,1.0
121,2015,MY,Social Development and Protection,122001,MY,Malaysia,35298,431592,0.21878453875153295
122,2017,RO,Law,475690,RO,Romania,51959,1127073,0.3941265763444621
123,2017,RO,Health,669448,RO,Romania,51959,1127073,0.5743474645479456
124,2017,RO,Military,658140,RO,Romania,51959,1127073,0.5638295101728746
125,2017,RO,Religion,302920,RO,Romania,51959,1127073,0.23342733886825026
126,2017,RO,Education,973135,RO,Romania,51959,1127073,0.8568170445180697
127,2017,RO,Corruption,517937,RO,Romania,51959,1127073,0.4334219440915103
128,2017,RO,Agriculture,439100,RO,Romania,51959,1127073,0.3600929761867114
129,2017,RO,Economic Policy,489715,RO,Romania,51959,1127073,0.40717170458202573
130,2017,RO,Government and Politics,1127073,RO,Romania,51959,1127073,0.9999999999999999
131,2017,RO,Social Development and Protection,285738,RO,Romania,51959,1127073,0.21744577784309385
132,2017,YM,Health,376254,YM,Yemen,31577,1142673,0.31021351890385707
133,2017,YM,Military,1142673,YM,Yemen,31577,1142673,0.9999999999999999
134,2017,YM,Religion,667061,YM,Yemen,31577,1142673,0.5719433784299466
135,2017,YM,Violence,810605,YM,Yemen,31577,1142673,0.7011347354324019
136,2017,YM,Education,419793,YM,Yemen,31577,1142673,0.34939915182846487
137,2017,YM,Economic Policy,542805,YM,Yemen,31577,1142673,0.4601114575158222
138,2017,YM,Government and Politics,967860,YM,Yemen,31577,1142673,0.8426661602597795
139,2016,AM,Health,162610,AM,Armenia,19227,534152,0.27845414380735056
140,2016,AM,Military,534152,AM,Armenia,19227,534152,1.0
141,2016,AM,Religion,243508,AM,Armenia,19227,534152,0.43556051852211486
142,2016,AM,Violence,284347,AM,Armenia,19227,534152,0.5148710977326795
143,2016,AM,Education,261535,AM,Armenia,19227,534152,0.4705695004126814
144,2016,AM,Corruption,131204,AM,Armenia,19227,534152,0.21746273729183863
145,2016,AM,Agriculture,129582,AM,Armenia,19227,534152,0.21431276399475652
146,2016,AM,Economic Policy,198772,AM,Armenia,19227,534152,0.34868184687090353
147,2016,AM,Government and Politics,432975,AM,Armenia,19227,534152,0.8035111909501383
148,2017,SF,Law,165330,SF,South Africa,29178,482849,0.30011175499425796
149,2017,SF,Health,243883,SF,South Africa,29178,482849,0.4732614603975127
150,2017,SF,Military,380963,SF,South Africa,29178,482849,0.7754187505923896
151,2017,SF,Religion,145128,SF,South Africa,29178,482849,0.25558168805147347
152,2017,SF,Violence,190836,SF,South Africa,29178,482849,0.3563331136440284
153,2017,SF,Education,442382,SF,South Africa,29178,482849,0.9108009989618028
154,2017,SF,Corruption,205383,SF,South Africa,29178,482849,0.3883982004580412
155,2017,SF,Agriculture,170513,SF,South Africa,29178,482849,0.31153633359857696
156,2017,SF,Economic Policy,227282,SF,South Africa,29178,482849,0.43666886355971624
157,2017,SF,Government and Politics,482849,SF,South Africa,29178,482849,1.0
158,2017,SF,Social Development and Protection,168605,SF,South Africa,29178,482849,0.30733064269040783
159,2015,RI,Health,103038,RI,Serbia,29724,350199,0.22876667446758717
160,2015,RI,Military,317053,RI,Serbia,29724,350199,0.8965722755285124
161,2015,RI,Religion,126153,RI,Serbia,29724,350199,0.3008939854902879
162,2015,RI,Violence,127393,RI,Serbia,29724,350199,0.30476324206256333
163,2015,RI,Education,174051,RI,Serbia,29724,350199,0.4503533816990405
164,2015,RI,Economic Policy,337601,RI,Serbia,29724,350199,0.960689601372962
165,2015,RI,Government and Politics,350199,RI,Serbia,29724,350199,1.0
166,2017,SO,Law,189963,SO,Somalia,14247,508044,0.3558466333331308
167,2017,SO,Health,152003,SO,Somalia,14247,508044,0.278972938272205
168,2017,SO,Military,483299,SO,Somalia,14247,508044,0.9498883144288037
169,2017,SO,Religion,377637,SO,Somalia,14247,508044,0.7359096956846639
170,2017,SO,Violence,410636,SO,Somalia,14247,508044,0.8027367521471374
171,2017,SO,Education,249373,SO,Somalia,14247,508044,0.4761592314250592
172,2017,SO,Social Issues,133854,SO,Somalia,14247,508044,0.24221896852350258
173,2017,SO,Economic Policy,350442,SO,Somalia,14247,508044,0.6808364570866166
174,2017,SO,Government and Politics,508044,SO,Somalia,14247,508044,1.0
175,2015,KS,Health,489061,KS,"Korea, South",49321,764919,0.6145070276887303
176,2015,KS,Military,637403,KS,"Korea, South",49321,764919,0.8218049798909444
177,2015,KS,Education,764919,KS,"Korea, South",49321,764919,1.0
178,2015,KS,Corruption,295731,KS,"Korea, South",49321,764919,0.34434137602396875
179,2015,KS,Agriculture,297531,KS,"Korea, South",49321,764919,0.3468567547701363
180,2015,KS,Economic Policy,412184,KS,"Korea, South",49321,764919,0.5070765988725514
181,2015,KS,Government and Politics,701028,KS,"Korea, South",49321,764919,0.9107166314047832
182,2015,KS,Urban and Rural Development,193762,KS,"Korea, South",49321,764919,0.20184656748621432
183,2015,KS,Social Development and Protection,213591,KS,"Korea, South",49321,764919,0.2295562592405233
184,2017,AE,Law,136666,AE,United Arab Emirates,47050,459546,0.21725301578681971
185,2017,AE,Health,224668,AE,United Arab Emirates,47050,459546,0.4305932663589465
186,2017,AE,Military,459546,AE,United Arab Emirates,47050,459546,1.0
187,2017,AE,Religion,314277,AE,United Arab Emirates,47050,459546,0.6478293122842403
188,2017,AE,Violence,308713,AE,United Arab Emirates,47050,459546,0.6343406966370584
189,2017,AE,Education,322943,AE,United Arab Emirates,47050,459546,0.6688380008533417
190,2017,AE,Corruption,150923,AE,United Arab Emirates,47050,459546,0.25181577518327447
191,2017,AE,Economic Policy,310156,AE,United Arab Emirates,47050,459546,0.6378389123773321
192,2017,AE,Government and Politics,436149,AE,United Arab Emirates,47050,459546,0.9432794499825453
193,2019,BO,Law,54221,BO,Belarus,9469,191665,0.24562559002393025
194,2019,BO,Health,66579,BO,Belarus,9469,191665,0.313453643329162
195,2019,BO,Military,177309,BO,Belarus,9469,191665,0.9212057344837428
196,2019,BO,Violence,63692,BO,Belarus,9469,191665,0.2976080704296472
197,2019,BO,Education,98374,BO,Belarus,9469,191665,0.487963511822433
198,2019,BO,Corruption,61035,BO,Belarus,9469,191665,0.28302487431118134
199,2019,BO,Agriculture,49529,BO,Belarus,9469,191665,0.2198731036905311
200,2019,BO,Economic Policy,115245,BO,Belarus,9469,191665,0.5805615930097258
201,2019,BO,Government and Politics,191665,BO,Belarus,9469,191665,0.9999999999999999
202,2019,SN,Health,159833,SN,Singapore,19116,273783,0.5525529416846313
203,2019,SN,Military,253065,SN,Singapore,19116,273783,0.9186467033420114
204,2019,SN,Education,219514,SN,Singapore,19116,273783,0.786902111384671
205,2019,SN,Corruption,102836,SN,Singapore,19116,273783,0.3287430252054644
206,2019,SN,Agriculture,87018,SN,Singapore,19116,273783,0.26663054105950124
207,2019,SN,Economic Policy,175435,SN,Singapore,19116,273783,0.613817259401493
208,2019,SN,Government and Politics,273783,SN,Singapore,19116,273783,1.0
209,2019,SN,Social Development and Protection,85078,SN,Singapore,19116,273783,0.2590127499833116
210,2018,CA,Law,768453,CA,Canada,144490,1989146,0.33825439539946744
211,2018,CA,Health,1207876,CA,Canada,144490,1989146,0.5764684580756521
212,2018,CA,Military,1528407,CA,Canada,144490,1989146,0.7502303952606882
213,2018,CA,Education,1743129,CA,Canada,144490,1989146,0.8666325862383014
214,2018,CA,Corruption,670021,CA,Canada,144490,1989146,0.2848937688110954
215,2018,CA,Agriculture,791342,CA,Canada,144490,1989146,0.3506626709803887
216,2018,CA,Economic Policy,973188,CA,Canada,144490,1989146,0.4492425688041565
217,2018,CA,Government and Politics,1989146,CA,Canada,144490,1989146,1.0
218,2018,CA,Social Development and Protection,609710,CA,Canada,144490,1989146,0.2521987839467088
219,2015,FR,Law,1163881,FR,France,304365,4109131,0.22590508851267072
220,2015,FR,Health,1501821,FR,France,304365,4109131,0.3147252682556562
221,2015,FR,Military,3923145,FR,France,304365,4109131,0.9511176245792777
222,2015,FR,Religion,2234368,FR,France,304365,4109131,0.507259316341662
223,2015,FR,Violence,2527894,FR,France,304365,4109131,0.5844062420658721
224,2015,FR,Education,2645114,FR,France,304365,4109131,0.6152149698562277
225,2015,FR,Agriculture,1126985,FR,France,304365,4109131,0.21620777729826224
226,2015,FR,Economic Policy,2216223,FR,France,304365,4109131,0.5024902976950488
227,2015,FR,Government and Politics,4109131,FR,France,304365,4109131,1.0
228,2015,FR,Social Development and Protection,1115583,FR,France,304365,4109131,0.21321100956011485
229,2018,RO,Law,351229,RO,Romania,41382,834356,0.3907404278072169
230,2018,RO,Health,491079,RO,Romania,41382,834356,0.5671018217495152
231,2018,RO,Military,487604,RO,Romania,41382,834356,0.562719584753094
232,2018,RO,Religion,204591,RO,Romania,41382,834356,0.2058188540860104
233,2018,RO,Education,727011,RO,Romania,41382,834356,0.8646298617609153
234,2018,RO,Corruption,365507,RO,Romania,41382,834356,0.4087460622920802
235,2018,RO,Agriculture,328478,RO,Romania,41382,834356,0.3620497015034541
236,2018,RO,Economic Policy,358325,RO,Romania,41382,834356,0.39968901880767843
237,2018,RO,Government and Politics,834356,RO,Romania,41382,834356,1.0
238,2018,RO,Social Development and Protection,231729,RO,Romania,41382,834356,0.24004191814611828
239,2016,IZ,Health,820528,IZ,Iraq,95104,3364084,0.2219114219114219
240,2016,IZ,Military,3364084,IZ,Iraq,95104,3364084,1.0
241,2016,IZ,Religion,2273681,IZ,Iraq,95104,3364084,0.6664393786441031
242,2016,IZ,Violence,2744188,IZ,Iraq,95104,3364084,0.8103702072206009
243,2016,IZ,Education,1196956,IZ,Iraq,95104,3364084,0.33706293706293705
244,2016,IZ,Economic Policy,1139819,IZ,Iraq,95104,3364084,0.3195843963560499
245,2016,IZ,Government and Politics,2623564,IZ,Iraq,95104,3364084,0.7734706238643246
246,2016,TH,Law,222523,TH,Thailand,54179,749680,0.2420470998603884
247,2016,TH,Health,496073,TH,Thailand,54179,749680,0.635360696821428
248,2016,TH,Military,542677,TH,Thailand,54179,749680,0.702368508456494
249,2016,TH,Religion,337806,TH,Thailand,54179,749680,0.40780243306623565
250,2016,TH,Violence,200933,TH,Thailand,54179,749680,0.21100472896516323
251,2016,TH,Education,703032,TH,Thailand,54179,749680,0.9329289246169309
252,2016,TH,Corruption,281912,TH,Thailand,54179,749680,0.3274373437277588
253,2016,TH,Agriculture,403622,TH,Thailand,54179,749680,0.5024334975794428
254,2016,TH,Economic Policy,501307,TH,Thailand,54179,749680,0.6428862072089041
255,2016,TH,Government and Politics,749680,TH,Thailand,54179,749680,1.0
256,2016,TH,Urban and Rural Development,211756,TH,Thailand,54179,749680,0.22656617316150515
257,2016,TH,Social Development and Protection,252346,TH,Thailand,54179,749680,0.2849269806944922
258,2019,MK,Health,53832,MK,Macedonia,9006,202618,0.23152490548106522
259,2019,MK,Military,83498,MK,Macedonia,9006,202618,0.3847488792017024
260,2019,MK,Religion,48700,MK,Macedonia,9006,202618,0.20501828399066171
261,2019,MK,Education,97800,MK,Macedonia,9006,202618,0.4586182674627606
262,2019,MK,Corruption,48695,MK,Macedonia,9006,202618,0.2049924591450943
263,2019,MK,Agriculture,51996,MK,Macedonia,9006,202618,0.2220420221887073
264,2019,MK,Economic Policy,70200,MK,Macedonia,9006,202618,0.31606511993058284
265,2019,MK,Government and Politics,202618,MK,Macedonia,9006,202618,1.0
266,2016,AS,Law,972453,AS,Australia,163453,2515108,0.34401304613134154
267,2016,AS,Health,1797761,AS,Australia,163453,2515108,0.6949607829379735
268,2016,AS,Military,1892967,AS,Australia,163453,2515108,0.7354454628761447
269,2016,AS,Religion,754394,AS,Australia,163453,2515108,0.2512872849121151
270,2016,AS,Violence,681121,AS,Australia,163453,2515108,0.22012922813933167
271,2016,AS,Education,2515108,AS,Australia,163453,2515108,1.0
272,2016,AS,Corruption,867374,AS,Australia,163453,2515108,0.2993300462865514
273,2016,AS,Agriculture,988828,AS,Australia,163453,2515108,0.35097622738029177
274,2016,AS,Economic Policy,1157474,AS,Australia,163453,2515108,0.4226899779091746
275,2016,AS,Government and Politics,2268352,AS,Australia,163453,2515108,0.8950713433730713
276,2016,AS,Social Development and Protection,903964,AS,Australia,163453,2515108,0.31488930136435833
277,2019,UK,Law,1126360,UK,United Kingdom,259410,3044735,0.3112563165878309
278,2019,UK,Health,1727517,UK,United Kingdom,259410,3044735,0.5270864261800687
279,2019,UK,Military,2626159,UK,United Kingdom,259410,3044735,0.8497209481837846
280,2019,UK,Religion,926271,UK,United Kingdom,259410,3044735,0.23941945733442238
281,2019,UK,Violence,898061,UK,United Kingdom,259410,3044735,0.22929137533321964
282,2019,UK,Education,2413215,UK,United Kingdom,259410,3044735,0.7732688285927136
283,2019,UK,Corruption,1070703,UK,United Kingdom,259410,3044735,0.29127408830208323
284,2019,UK,Agriculture,824777,UK,United Kingdom,259410,3044735,0.2029806216509743
285,2019,UK,Economic Policy,1480917,UK,United Kingdom,259410,3044735,0.43855097699550327
286,2019,UK,Government and Politics,3044735,UK,United Kingdom,259410,3044735,1.0
287,2019,UK,Social Development and Protection,959998,UK,United Kingdom,259410,3044735,0.2515282776695718
288,2015,US,Law,6479209,US,United States,1066074,13500024,0.4353511957181748
289,2015,US,Health,7976937,US,United States,1066074,13500024,0.5558059184732125
290,2015,US,Military,11584251,US,United States,1066074,13500024,0.8459240225350754
291,2015,US,Religion,5568828,US,United States,1066074,13500024,0.36213383518511816
292,2015,US,Violence,5111500,US,United States,1066074,13500024,0.3253532465547955
293,2015,US,Education,12552624,US,United States,1066074,13500024,0.92380538766844
294,2015,US,Corruption,4373371,US,United States,1066074,13500024,0.26598924718211026
295,2015,US,Agriculture,4232883,US,United States,1066074,13500024,0.25469050462644616
296,2015,US,Economic Policy,5732732,US,United States,1066074,13500024,0.375315808733347
297,2015,US,Government and Politics,13500024,US,United States,1066074,13500024,1.0
298,2015,US,Social Development and Protection,4426486,US,United States,1066074,13500024,0.27026101922558804
299,2016,RS,Law,1526226,RS,Russia,279564,6211274,0.21016907434786936
300,2016,RS,Health,2241804,RS,Russia,279564,6211274,0.3308051135338713
301,2016,RS,Military,6020345,RS,Russia,279564,6211274,0.9678121486047027
302,2016,RS,Religion,2552909,RS,Russia,279564,6211274,0.3832528899760777
303,2016,RS,Violence,3455087,RS,Russia,279564,6211274,0.5353469741440495
304,2016,RS,Education,3084800,RS,Russia,279564,6211274,0.4729219735961468
305,2016,RS,Corruption,1732427,RS,Russia,279564,6211274,0.24493156273654648
306,2016,RS,Economic Policy,3193700,RS,Russia,279564,6211274,0.4912809291081324
307,2016,RS,Government and Politics,6211274,RS,Russia,279564,6211274,1.0
308,2015,SP,Law,666137,SP,Spain,147447,2312472,0.2395769101973418
309,2015,SP,Health,922881,SP,Spain,147447,2312472,0.35816399348737316
310,2015,SP,Military,1334499,SP,Spain,147447,2312472,0.5482855856167942
311,2015,SP,Religion,755929,SP,Spain,147447,2312472,0.2810507961801827
312,2015,SP,Violence,604812,SP,Spain,147447,2312472,0.21125160217549452
313,2015,SP,Education,1686465,SP,Spain,147447,2312472,0.7108546090691793
314,2015,SP,Agriculture,662992,SP,Spain,147447,2312472,0.23812427108232007
315,2015,SP,Economic Policy,1075792,SP,Spain,147447,2312472,0.4287918153370054
316,2015,SP,Government and Politics,2312472,SP,Spain,147447,2312472,1.0
317,2015,SP,Social Development and Protection,641601,SP,Spain,147447,2312472,0.2282440156580178
318,2018,PO,Law,138975,PO,Portugal,33809,396336,0.2900914966333542
319,2018,PO,Health,225562,PO,Portugal,33809,396336,0.5289343966104594
320,2018,PO,Military,311786,PO,Portugal,33809,396336,0.7667759918571583
321,2018,PO,Religion,138931,PO,Portugal,33809,396336,0.2899701263630019
322,2018,PO,Violence,120073,PO,Portugal,33809,396336,0.23795193185611002
323,2018,PO,Education,357719,PO,Portugal,33809,396336,0.8934782788592298
324,2018,PO,Corruption,121265,PO,Portugal,33809,396336,0.24123996281656263
325,2018,PO,Agriculture,131588,PO,Portugal,33809,396336,0.26971508329034805
326,2018,PO,Economic Policy,210941,PO,Portugal,33809,396336,0.4886036074554447
327,2018,PO,Government and Politics,396336,PO,Portugal,33809,396336,1.0
328,2018,PO,Social Development and Protection,135314,PO,Portugal,33809,396336,0.2799929384569977
329,2015,AF,Health,354649,AF,Afghanistan,36682,1209708,0.2710656029789621
330,2015,AF,Military,1209708,AF,Afghanistan,36682,1209708,1.0
331,2015,AF,Religion,537587,AF,Afghanistan,36682,1209708,0.4270195204539371
332,2015,AF,Violence,877079,AF,Afghanistan,36682,1209708,0.716435100330257
333,2015,AF,Education,441270,AF,Afghanistan,36682,1209708,0.3449096609964315
334,2015,AF,Economic Policy,458590,AF,Afghanistan,36682,1209708,0.3596748921166283
335,2015,AF,Government and Politics,811059,AF,Afghanistan,36682,1209708,0.6601533128847954
336,2015,YM,Health,297715,YM,Yemen,20657,1177673,0.23945909131766543
337,2015,YM,Military,1177673,YM,Yemen,20657,1177673,0.9999999999999999
338,2015,YM,Religion,681305,YM,Yemen,20657,1177673,0.5709929681179863
339,2015,YM,Violence,851912,YM,Yemen,20657,1177673,0.7184472816279117
340,2015,YM,Education,279211,YM,Yemen,20657,1177673,0.22346622691475312
341,2015,YM,Economic Policy,359661,YM,Yemen,20657,1177673,0.2929985410746265
342,2015,YM,Government and Politics,906477,YM,Yemen,20657,1177673,0.7656073900447358
343,2017,US,Law,8705542,US,United States,1348152,18905790,0.4190421285596616
344,2017,US,Health,10550711,US,United States,1348152,18905790,0.5241342257996207
345,2017,US,Military,14637671,US,United States,1348152,18905790,0.7569081330871499
346,2017,US,Religion,6412139,US,United States,1348152,18905790,0.2884207431546316
347,2017,US,Violence,6583082,US,United States,1348152,18905790,0.29815684774911067
348,2017,US,Education,15319212,US,United States,1348152,18905790,0.7957254842593292
349,2017,US,Corruption,6435586,US,United States,1348152,18905790,0.28975617335315834
350,2017,US,Agriculture,5286455,US,United States,1348152,18905790,0.22430710782395674
351,2017,US,Economic Policy,8030134,US,United States,1348152,18905790,0.3805740840539029
352,2017,US,Government and Politics,18905790,US,United States,1348152,18905790,1.0
353,2017,US,Social Development and Protection,5416310,US,United States,1348152,18905790,0.23170303431475237
354,2016,TU,Law,1504311,TU,Turkey,472674,5209620,0.21778525657670578
355,2016,TU,Health,2112967,TU,Turkey,472674,5209620,0.34627648278025547
