event_year,flattened_locations,category,count
2015,SX,Law,2
2015,SY,Law,578613
2015,IV,Law,38709
2018,MK,Law,90034
2016,JO,Law,137140
2017,GQ,Law,15843
2017,CJ,Law,9993
2015,MN,Law,13447
2019,TO,Law,3894
2019,ZA,Law,9590
2018,SM,Law,3546
2019,TK,Law,2144
2019,AF,Law,113006
2017,FI,Law,98503
2018,DA,Law,141001
2015,NU,Law,27092
2018,CB,Law,39520
2015,BU,Law,88543
2018,EN,Law,43258
2019,ES,Law,51915
2016,ES,Law,52570
2015,TX,Law,14411
2017,PU,Law,4969
2018,GJ,Law,5497
2018,PS,Law,5133
2019,KT,Law,931
2016,GA,Law,36187
2015,MX,Law,675008
2016,ER,Law,21094
2017,HK,Law,130913
2016,AG,Law,117192
2016,SE,Law,9436
2016,TI,Law,17050
2017,IP,Law,4
2017,SZ,Law,374527
2017,LE,Law,162788
2017,BN,Law,13881
2017,BM,Law,54320
2015,CI,Law,118004
2015,NI,Law,177520
2019,KV,Law,14295
2016,NE,Law,743
2019,UG,Law,17461
2016,CJ,Law,8877
2019,KU,Law,15863
2017,WQ,Law,61
2016,CR,Law,2
2018,UK,Law,1703198
2016,BE,Law,580219
2018,KN,Law,217769
2019,OD,Law,6942
2019,HU,Law,70073
2018,GL,Law,5134
2016,EK,Law,6662
2016,WA,Law,14998
2016,FJ,Law,14334
2017,IS,Law,668898
2016,GM,Law,1519100
2016,GT,Law,89887
2017,GT,Law,108767
2015,CY,Law,47566
2016,LE,Law,182763
2016,CM,Law,32403
2016,VC,Law,6143
2018,MU,Law,24225
2015,TO,Law,8743
2017,EK,Law,9703
2016,CW,Law,1410
2017,FP,Law,1224
2019,WQ,Law,28
2019,IO,Law,219
2015,FK,Law,96
2016,MQ,Law,6
2017,IR,Law,525055
2017,MD,Law,115067
2015,ML,Law,61974
2018,CS,Law,16967
2015,CT,Law,18423
2017,BA,Law,54227
2017,JE,Law,39913
2018,ZA,Law,18862
2016,KT,Law,1871
2015,DQ,Law,6
2017,BE,Law,435710
2018,AG,Law,47695
2018,PL,Law,257120
2016,ID,Law,309806
2019,PE,Law,102907
2017,RP,Law,204890
2016,MD,Law,87562
2016,KV,Law,51904
2016,IV,Law,36359
2017,IV,Law,23469
2018,MH,Law,2392
2018,CT,Law,11908
2019,DO,Law,5752
2015,CN,Law,2661
2018,FM,Law,707
2016,IR,Law,443212
2018,US,Law,8324901
2018,VM,Law,182175
2016,BX,Law,61786
2015,RO,Law,258312
2015,MU,Law,26126
2017,GY,Law,14507
2019,FI,Law,47903
2016,DR,Law,28393
2015,FG,Law,450
2018,VC,Law,2901
2016,PS,Law,4427
2017,NT,Law,126
2016,BS,Law,1
2017,NI,Law,216390
2017,UG,Law,39964
2018,CM,Law,27997
2015,NL,Law,255589
2015,QA,Law,66900
2016,AF,Law,322270
2018,LY,Law,96237
2018,YM,Law,94113
2017,HA,Law,42684
2018,TX,Law,9318
2018,MN,Law,10072
2016,GQ,Law,10843
2019,LT,Law,1654
2018,AV,Law,730
2019,SC,Law,250
2017,FK,Law,51
2018,JQ,Law,1
2019,PO,Law,68243
2015,AR,Law,312033
2015,BL,Law,81424
2017,CG,Law,13554
2015,UV,Law,83936
2015,JO,Law,105719
2015,ID,Law,220937
2016,MG,Law,26360
2019,SO,Law,32375
2018,BL,Law,68083
2019,LU,Law,32135
2019,BY,Law,5475
2016,BP,Law,1532
2015,GB,Law,10676
2018,SL,Law,9614
2015,WZ,Law,3500
2015,GL,Law,3568
2015,PG,Law,519
2015,EG,Law,480086
2017,UP,Law,843988
2018,GR,Law,327122
2018,KS,Law,306236
2018,KV,Law,42548
2017,WZ,Law,2331
2016,NS,Law,5777
2017,GL,Law,14138
2017,AC,Law,6346
2015,NC,Law,1685
2016,FR,Law,1640225
2016,DO,Law,12615
2017,ET,Law,39962
2019,GY,Law,7572
2015,NS,Law,3476
2018,CQ,Law,839
2019,HK,Law,171597
2019,TS,Law,33800
2019,AM,Law,36683
2019,RO,Law,215737
2018,NO,Law,116447
2016,RE,Law,27748
2015,ZI,Law,64159
2018,LA,Law,11242
2017,CV,Law,3777
2017,MI,Law,12011
2018,VQ,Law,3906
2018,MF,Law,1524
2017,SU,Law,184584
2017,EZ,Law,123170
2015,GR,Law,336999
2019,GZ,Law,26601
2019,LG,Law,27063
2016,SF,Law,208732
2019,TH,Law,102456
2017,PP,Law,14011
2018,CI,Law,171442
2018,SF,Law,165448
2015,AM,Law,64553
2015,BK,Law,28851
2018,PA,Law,41662
2017,MV,Law,11265
2016,BL,Law,102790
2015,CS,Law,14921
2017,JM,Law,42008
2017,LY,Law,263325
2016,CI,Law,149623
2019,CE,Law,43199
2017,CD,Law,45964
2015,AU,Law,179892
2019,TW,Law,91860
2015,KN,Law,49721
2017,OS,Law,46419
2018,IV,Law,16161
2015,KR,Law,1674
2016,PG,Law,1770
2015,TL,Law,108
2017,DQ,Law,4
2017,JA,Law,441313
2019,NL,Law,146414
2018,NZ,Law,96102
2017,EG,Law,544032
2019,FR,Law,647534
2019,ET,Law,42587
2016,NG,Law,25333
2017,CM,Law,30486
2018,NR,Law,2988
2019,IV,Law,11197
2016,LU,Law,71598
2019,PS,Law,2629
2017,MG,Law,20961
2017,MZ,Law,23227
2016,VT,Law,15586
2016,AQ,Law,2656
2017,SH,Law,377
2019,HQ,Law,30
2017,BS,Law,1
2017,AR,Law,387680
2015,EI,Law,157328
2016,PO,Law,167814
2017,AM,Law,105444
2019,CS,Law,11595
2017,GG,Law,24702
2019,MO,Law,55591
2015,GT,Law,92847
2016,BA,Law,59235
2016,SG,Law,64386
2017,ZA,Law,21630
2019,GA,Law,6145
2019,TN,Law,1198
2019,FK,Law,34
2017,NE,Law,240
2019,SH,Law,164
2018,DQ,Law,2
2017,WF,Law,5
2016,VE,Law,349052
2016,BU,Law,138749
2017,GR,Law,382850
2017,VM,Law,216101
2017,TH,Law,192446
2016,MT,Law,26234
2019,YM,Law,57214
2017,TT,Law,4699
2016,CT,Law,18085
2015,IC,Law,21470
2015,ST,Law,1366
2015,"",Law,3
2017,LQ,Law,14
2018,AR,Law,300212
2019,VE,Law,173155
2018,LU,Law,46119
2018,TH,Law,172268
2019,EI,Law,138150
2019,MP,Law,38977
2015,CU,Law,140338
2016,RQ,Law,43207
2019,NO,Law,79150
2015,AO,Law,30656
2018,TL,Law,281
2017,MC,Law,32680
2018,OS,Law,44576
2015,YI,Law,6414
2019,GV,Law,11265
2019,MB,Law,2654
2017,NC,Law,1444
2017,OC,Law,2590
2016,PF,Law,578
2015,MQ,Law,11
2016,BQ,Law,2
2016,EC,Law,112330
2015,IZ,Law,389350
2017,WE,Law,121691
2018,DR,Law,21468
2015,KE,Law,84432
2015,NG,Law,27132
2015,NP,Law,26196
2019,WS,Law,2402
2019,GK,Law,2228
2015,AQ,Law,2071
2018,NF,Law,255
2015,WF,Law,3
2018,IT,Law,841386
2019,HR,Law,43541
2018,NL,Law,236610
2015,LH,Law,58022
2015,HA,Law,36923
2015,RW,Law,31529
2015,WE,Law,57788
2018,AL,Law,95882
2015,BM,Law,31645
2019,AQ,Law,2697
2016,OC,Law,3998
2017,SC,Law,166
2019,FM,Law,572
2018,TU,Law,879849
2017,LH,Law,72293
2018,LE,Law,129519
2017,BU,Law,131351
2018,FI,Law,133913
2016,BY,Law,27890
2016,MK,Law,88143
2018,RI,Law,73287
2015,DA,Law,101073
2017,LS,Law,7841
2017,NF,Law,231
2018,LT,Law,2413
2015,CJ,Law,5105
2019,CJ,Law,2263
2016,LQ,Law,7
2015,FQ,Law,5
2017,AU,Law,207994
2018,ZI,Law,102664
2018,ET,Law,41223
2019,LY,Law,63016
2017,TZ,Law,32208
2016,SO,Law,85907
2018,PG,Law,300
2016,ZA,Law,24092
2015,MA,Law,10562
2016,AA,Law,1803
2016,WQ,Law,26
2019,BV,Law,1
2016,EU,Law,1
2019,IZ,Law,166964
2016,MJ,Law,29599
2015,HU,Law,124879
2017,NS,Law,4492
2017,NR,Law,9180
2018,BX,Law,13360
2018,TZ,Law,22783
2015,MB,Law,4408
2019,PF,Law,140
2017,FQ,Law,4
2017,AF,Law,261867
2016,CA,Law,731019
2015,TU,Law,825086
2017,ML,Law,53855
2017,SN,Law,99572
2017,RI,Law,107556
2019,NZ,Law,129170
2016,CE,Law,46693
2017,KV,Law,56728
2018,SI,Law,38129
2018,GG,Law,23371
2015,RQ,Law,20153
2016,AO,Law,48684
2016,LT,Law,3266
2018,TN,Law,2353
2019,BD,Law,3163
2017,ST,Law,1721
2016,SC,Law,247
2015,IP,Law,8
2019,JN,Law,3
2016,IS,Law,589060
2018,UP,Law,748747
2019,SP,Law,384844
2019,AG,Law,43271
2018,RP,Law,118643
2016,ML,Law,71969
2017,CY,Law,74605
2019,LH,Law,34427
2019,PA,Law,23120
2016,MI,Law,15426
2015,UZ,Law,21091
2016,BC,Law,8485
2016,GG,Law,22554
2015,BV,Law,5
2015,CK,Law,1
2018,TW,Law,145202
2018,JO,Law,105453
2016,KG,Law,39094
2015,HK,Law,90365
2015,AN,Law,10940
2017,BK,Law,46352
2015,CV,Law,1715
2018,AJ,Law,61345
2016,TO,Law,11611
2016,FP,Law,2630
2017,BC,Law,9353
2019,BN,Law,4407
2015,VQ,Law,3119
2019,BU,Law,66586
2017,BO,Law,142987
2015,AL,Law,55424
2016,PM,Law,190802
2015,MK,Law,46028
2019,PM,Law,40314
2015,WS,Law,3358
2017,BP,Law,1193
2019,KR,Law,460
2017,IM,Law,308
2019,VC,Law,1656
2016,VM,Law,226450
2015,MO,Law,182276
2016,HA,Law,59908
2019,HO,Law,52551
2017,QA,Law,110735
2016,MA,Law,14017
2019,CB,Law,12202
2019,ML,Law,21135
2019,VT,Law,12705
2018,FJ,Law,14079
2019,MJ,Law,14252
2015,WI,Law,2096
2018,AY,Law,4990
2015,TT,Law,6103
2017,CW,Law,583
2015,PC,Law,180
2019,PC,Law,68
2016,RI,Law,87240
2018,MP,Law,61169
2019,NU,Law,31105
2019,SI,Law,16231
2015,RE,Law,25257
2016,TX,Law,18652
2017,MH,Law,3329
2016,NC,Law,2170
2019,NT,Law,129
2017,UK,Law,1881841
2018,AF,Law,175629
2017,UY,Law,81590
2018,TD,Law,17588
2019,BG,Law,58955
2019,NI,Law,110514
2018,SU,Law,55254
2018,GY,Law,10091
2018,CF,Law,36674
2015,CE,Law,38088
2017,KT,Law,1772
2015,FJ,Law,7013
2018,PC,Law,563
2018,FK,Law,75
2015,SB,Law,369
2015,PF,Law,93
2017,EI,Law,188433
2017,BL,Law,106162
2018,VE,Law,239093
2016,AU,Law,232934
2015,MP,Law,66591
2016,MU,Law,41637
2019,BT,Law,1307
2018,MZ,Law,11464
2015,VI,Law,2209
2015,NR,Law,10361
2017,SM,Law,1524
2018,FP,Law,1093
2018,SP,Law,708112
2017,CU,Law,140145
2018,DJ,Law,15339
2017,MU,Law,37771
2017,BT,Law,5628
2017,PA,Law,64698
2019,GG,Law,15125
2019,MT,Law,19054
2019,GL,Law,3831
2016,MV,Law,15210
2016,NF,Law,327
2019,CV,Law,1126
2019,NR,Law,2127
2019,TP,Law,468
2018,SB,Law,32
2017,AJ,Law,94887
2017,IC,Law,54555
2018,GT,Law,129974
2015,BA,Law,25095
2015,GV,Law,30155
2016,TD,Law,15928
2019,UZ,Law,12712
2016,NR,Law,14912
2017,TO,Law,9758
2016,SW,Law,676354
2015,RS,Law,984166
2017,BH,Law,16823
2016,HU,Law,154980
2018,OD,Law,19342
2016,BH,Law,14862
2016,NU,Law,37670
2019,QA,Law,31464
2019,BA,Law,22742
2019,AY,Law,2192
2016,TN,Law,3691
2017,FM,Law,845
2018,NE,Law,179
2015,PM,Law,68276
2015,UY,Law,46865
2016,FM,Law,2433
2019,NH,Law,1511
2015,HQ,Law,248
2019,FO,Law,168
2018,LQ,Law,7
2019,IT,Law,494722
2017,MO,Law,141700
2017,VE,Law,492243
2019,AS,Law,362277
2018,EI,Law,187861
2017,PO,Law,174922
2017,NP,Law,24307
2018,RE,Law,17600
2017,FJ,Law,12387
2019,MZ,Law,11025
2015,TZ,Law,28053
2015,AA,Law,3848
2019,MH,Law,1530
2018,BT,Law,2081
2019,SV,Law,181
2016,FQ,Law,4
2017,FR,Law,1423711
2016,CY,Law,83413
2016,CD,Law,43659
2019,CF,Law,18498
2018,JE,Law,47405
2019,JM,Law,22304
2018,MT,Law,40910
2018,JM,Law,24301
2015,ZA,Law,13992
2015,RN,Law,1075
2019,NG,Law,6286
2016,VQ,Law,7087
2016,SV,Law,618
2019,BQ,Law,26
2016,GO,Law,1
2016,DA,Law,154122
2015,PE,Law,124388
2018,HK,Law,102874
2016,KU,Law,66502
2015,SU,Law,60731
2019,CU,Law,72391
2019,PL,Law,137837
2016,RP,Law,234227
2015,AJ,Law,38864
2017,CT,Law,11700
2019,OS,Law,22448
2015,DR,Law,26756
2016,SM,Law,2504
2017,RN,Law,1351
2018,WS,Law,4100
2015,SH,Law,396
2019,SB,Law,71
2015,JQ,Law,14
2017,SP,Law,948867
2019,JO,Law,75888
2018,HR,Law,78201
2016,NI,Law,223600
2018,NI,Law,169200
2016,MY,Law,164418
2018,HO,Law,106466
2019,CY,Law,36010
2015,MC,Law,14396
2018,MJ,Law,21355
2016,NH,Law,3987
2018,AQ,Law,2160
2018,MX,Law,796538
2017,CI,Law,178900
2017,GA,Law,32111
2018,PK,Law,210296
2017,KU,Law,58627
2015,BG,Law,76720
2016,EN,Law,45435
2016,MZ,Law,19816
2017,CB,Law,44246
2018,RM,Law,2812
2017,TP,Law,808
2018,NT,Law,143
2019,IN,Law,295766
2017,CH,Law,1206091
2017,KS,Law,449038
2015,SZ,Law,312497
2019,KE,Law,45061
2016,KS,Law,346765
2015,KU,Law,47411
2015,GA,Law,15705
2019,BF,Law,20282
2016,DJ,Law,21166
2017,TV,Law,387
2016,TT,Law,6986
2015,NE,Law,195
2015,GK,Law,1550
2017,BV,Law,5
2017,GM,Law,1415469
2018,GP,Law,17841
2017,SA,Law,290167
2015,PA,Law,45466
2015,BD,Law,5234
2018,LG,Law,51653
2015,GH,Law,62543
2018,UG,Law,37461
2019,SG,Law,15852
2016,MR,Law,17459
2019,MA,Law,4257
2018,CJ,Law,5310
2016,TP,Law,2328
2018,TK,Law,2744
2017,RS,Law,2116762
2016,RO,Law,464968
2019,SW,Law,265465
2019,SZ,Law,165884
2016,SZ,Law,447591
2019,BH,Law,7004
2015,SE,Law,4003
2016,GP,Law,26434
2019,NC,Law,430
2019,BB,Law,5070
2018,FO,Law,628
2015,CA,Law,569317
2019,ID,Law,164840
2019,KN,Law,89536
2019,MY,Law,71002
2017,MJ,Law,28586
2017,TS,Law,90521
2017,TX,Law,14111
2017,PS,Law,8099
2017,AN,Law,11055
2017,AQ,Law,2804
2015,TN,Law,1615
2018,BC,Law,6555
2016,ST,Law,2022
2018,GK,Law,3617
2019,OC,Law,1740
2016,FK,Law,51
2015,KQ,Law,5
2015,BQ,Law,3
2017,EC,Law,101422
2019,CA,Law,541512
2015,EZ,Law,93121
2018,BU,Law,115170
2018,TS,Law,59357
2016,GL,Law,5937
2017,SB,Law,155
2018,JN,Law,2
2016,HQ,Law,21
2015,CH,Law,892475
2019,TU,Law,423465
2019,CH,Law,818033
2018,EZ,Law,120696
2019,VI,Law,1897
2018,CE,Law,45815
2016,SL,Law,15183
2015,GY,Law,12662
2019,MV,Law,4116
2016,PC,Law,1121
2017,BB,Law,10628
2018,HQ,Law,7
2018,BQ,Law,1
2019,BK,Law,16014
2019,UP,Law,427101
2016,PE,Law,197843
2015,SG,Law,52194
2018,SN,Law,117126
2015,FI,Law,65433
2018,GB,Law,6288
2018,GQ,Law,9024
2019,TX,Law,4637
2015,IO,Law,109
2019,TL,Law,221
2015,CG,Law,11320
2019,GM,Law,633934
2019,EG,Law,175470
2016,CH,Law,1425376
2017,DA,Law,169216
2018,BF,Law,18778
2018,NU,Law,51887
2018,KG,Law,30023
2017,BY,Law,14545
2019,EN,Law,22080
2015,BF,Law,19455
2015,SO,Law,64136
2016,WZ,Law,3514
2018,BE,Law,343091
2015,AS,Law,798215
2018,FR,Law,1096590
2017,DR,Law,32200
2019,VM,Law,138283
2017,YI,Law,13663
2017,MB,Law,5455
2018,TO,Law,9632
2019,RB,Law,39728
2018,BB,Law,7824
2017,VI,Law,7077
2019,LI,Law,8823
2017,GI,Law,7456
2017,DJ,Law,20546
2015,AY,Law,3694
2017,AA,Law,4938
2019,MN,Law,5355
2019,EU,Law,1
2019,US,Law,5178301
2016,EG,Law,625258
2017,CA,Law,733465
2016,LG,Law,52871
2015,WA,Law,10836
2015,KG,Law,37272
2019,BX,Law,16543
2015,TD,Law,15200
2019,ER,Law,9504
2016,AN,Law,8796
2019,FG,Law,983
2016,JA,Law,424552
2018,CO,Law,242533
2017,MP,Law,81379
2016,GV,Law,31060
2015,LI,Law,18720
2017,AY,Law,8816
2018,AM,Law,83438
2017,CS,Law,17370
2015,MV,Law,16187
2018,KZ,Law,55780
2015,BN,Law,12815
2015,LA,Law,12126
2018,NC,Law,1160
2018,MQ,Law,3
2018,LO,Law,52877
2018,CG,Law,12993
2016,AL,Law,123234
2015,LU,Law,47073
2018,SG,Law,38934
2015,EN,Law,32823
2015,BX,Law,22175
2015,TI,Law,14358
2018,WZ,Law,2095
2017,AS,Law,813363
2017,RB,Law,131223
2015,UP,Law,636737
2017,IN,Law,581611
2017,RQ,Law,59747
2015,SF,Law,150204
2017,PE,Law,228358
2015,NZ,Law,101738
2015,ER,Law,20474
2016,ZI,Law,65254
2016,PU,Law,5250
2017,GV,Law,29427
2015,CB,Law,35015
2018,ER,Law,15393
2017,WA,Law,9601
2015,PS,Law,4199
2015,FS,Law,65
2016,WF,Law,3
2018,BG,Law,101422
2018,MD,Law,82224
2018,HU,Law,142590
2017,PM,Law,139045
2016,RB,Law,131512
2018,HA,Law,51931
2016,SA,Law,349510
2016,LO,Law,47261
2016,BM,Law,28704
2015,DO,Law,10963
2016,OD,Law,28808
2018,MB,Law,5071
2019,PU,Law,1024
2017,KN,Law,335700
2017,KE,Law,89349
2015,GM,Law,964425
2018,SA,Law,291217
2018,PE,Law,175254
2015,CO,Law,227866
2017,BF,Law,26920
2015,OD,Law,14906
2018,AA,Law,2665
2018,TI,Law,14679
2019,FP,Law,724
2019,TI,Law,7221
2017,SV,Law,894
2019,CQ,Law,977
2016,US,Law,8609099
2018,SH,Law,358
2016,KE,Law,112258
2018,KE,Law,77203
2019,IS,Law,321620
2015,VC,Law,2590
2016,JM,Law,39552
2017,MA,Law,10607
2018,MA,Law,7261
2018,EK,Law,6394
2017,KQ,Law,7
2015,UK,Law,1215980
2018,IR,Law,388836
2016,HO,Law,83428
2017,TU,Law,1180933
2015,MD,Law,42440
2016,EZ,Law,134900
2019,WE,Law,56923
2017,AV,Law,2591
2018,BH,Law,11431
2019,KG,Law,22326
2018,CV,Law,2673
2016,CV,Law,3537
2017,PF,Law,260
2015,CW,Law,450
2017,JN,Law,13
2018,GZ,Law,61051
2018,CH,Law,1050882
2019,EZ,Law,60001
2017,MN,Law,15368
2019,LE,Law,62410
2018,WE,Law,94483
2015,OS,Law,36543
2017,OD,Law,23815
2019,DA,Law,66368
2019,BM,Law,15327
2015,LS,Law,4719
2016,RN,Law,1235
2017,ID,Law,293679
2018,IZ,Law,246829
2015,SN,Law,84010
2017,JO,Law,181924
2019,SU,Law,44458
2018,EC,Law,99562
2018,NG,Law,17359
2017,GJ,Law,7174
2017,MT,Law,38853
2018,WA,Law,10182
2015,RM,Law,3396
2017,EN,Law,51091
2018,IO,Law,65
2015,NO,Law,114216
2016,GR,Law,441622
2016,AR,Law,457465
2016,NO,Law,167847
2016,BO,Law,133894
2018,BO,Law,98105
2019,RQ,Law,31431
2018,QA,Law,54899
2016,PK,Law,336416
2015,BY,Law,22259
2019,UV,Law,29119
2015,GI,Law,4651
2016,GK,Law,3425
2015,FM,Law,1588
2016,JN,Law,5
